"AuthorName","COUNT(*)"
 l.ron hubbard,1
 l.sprague de camplin carter,1
 l.spraguelin carter,2
 la selle gilman,1
 langston hughes,3
 lantz,2
 larry eisenberg,1
 larry niven,2
 larry tritten,1
 laurence,1
 laurence manning,1
 lawrence blochman,3
 lawrence g. blochman,1
 lawrence kasdan,10
 lawrence williams,1
 lee francis,3
 lee rodgers,1
 leech dickens,2
 leigh,24
 leigh / brackett,2
 leigh / del rey,1
 leigh / rey,1
 leigh / robert silerberg,1
 leigh / silverberg,1
 leigh / spiegl,1
 leigh / wallis,2
 leigh / williams,3
 leigh / young,1
 leigh // wallis,1
 leigh brackett,83
 leigh brackettothers,1
 leigh hunt,1
 leigh/ wallis,1
 leigh/silverger,1
 leo margulies,1
 leo marguliesitor],1
 leo ray bradbury,1
 les martin,3
 leslie charteris,3
 leslie f. stone,1
 leslie waltham,1
 lester,2
 lester del / weinbaum,1
 lester del rey,7
 lewis a. mcarthur,1
 lewis carroll,4
 lewis padgett,1
 lin,32
 lin / baxter,3
 lin / long,2
 lin / malzberg,1
 lin / neville,1
 lin carter,80
 lin carter [introduction],1
 lin carter),2
 lin carter.,1
 lin carterbjorn nyberg,1
 lin/high,1
 lin/neville,2
 linbaxter,1
 linde camp,1
 lindsay smith,1
 linscott,3
 lisa m. ellram,2
 lisa miles,1
 lloyd biggle jr.,1
 lord dunsany,3
 lore stra�l,1
 lorine niedecker,1
 louis ,2
 louis hjelmslev,1
 louis trimble,2
 louise wimpole,1
 lowell,1
 lucien price,1
 lucilla,3
 lucille,1
 lucinda dickens hawksley,5
 lyn mcconchie,1
 lyndon parker [introduction],1
 m,1
 m. d. [donnelly,1
 m. e.,2
 m. e. kerr,8
 m. r. james,10
 m. schcell,2
 m. schell,2
 m.r.james,2
 mabel loomis ,2
 mabel loomis todd,1
 mack,1
 mack reynolds,8
 mackinlay kantor,1
 madsen flemming,1
 malcolm,1
 malcolm kenneth murchie,1
 malvina g. vogel,1
 manchette,1
 manly wade,2
 manly wade / asimov,1
 manly wade wellman,5
 manly wellman,2
 marc,3
 marc paoletti,1
 marcia nichols holden,1
 marcus sakey,1
 margaret,10
 margaret drabble,2
 margaret irwin,2
 margaret st clair,1
 margaret st. clair,6
 margaret st. clair),1
 margery mansfield,1
 mari wolfothers,1
 marianne moore,15
 marie belloc lowndes,1
 marion smith,2
 marion zimmer bradley,1
 mark twain,3
 marta randall,4
 martha dickinson,2
 martin,2
 mary angela dickens,3
 mary balogh,1
 mary e counselman,1
 mary elizabeth counselman,1
 mary f. lindsley,1
 mary k neff,1
 mary mapes dodge,1
 mary roberts,2
 mary shelley,4
 mary wilkins-freeman,1
 mary wollstonecraft,2
 mary zimmerman,1
 marya zaturenskya,1
 matt lee,1
 matthew arnold,1
 maureen exter,1
 maurice baring,1
 maurus jokai,1
 max werner,1
 maxwell e. perkins,1
 mcilvaine s august derleth,2
 md john bernard henry,1
 megan campbell,1
 michael bishop,1
 michael cross,1
 michael del rosso,1
 michael g. coney,1
 michael gilbert,1
 michael harrison,1
 michael s. saag,5
 mike,1
 mike o'driscoll,1
 mike petersen,2
 mildred johnson,1
 millar,1
 millay,1
 millicent todd bingham,1
 milto,1
 milton / nourse,1
 milton lesser,5
 miriam allen deford,1
 mitchell giesecke,2
 mitsu yamamoto,3
 montague summers,2
 more,1
 morley callaghan,1
 morton brotman,1
 mrs. henry wood,9
 murray ,2
 murray / brackett,1
 murray / derleth,1
 murray leinster,8
 murray leinsteraugust derleth,1
 murray leinsterothers,1
 murray shaw,3
 murrayoverlie,1
 m�r gregory john bar hebr�us,1
 n. w. bass.,1
 nancy,2
 nancy werlin,8
 nathanial hawthorne,1
 nathaniel hawthorne,3
 nazaret de ter�n bleiberg,2
 neal wooten,1
 nelle e. moore,1
 nelson bond,3
 nicholas monsariat,2
 nicholas selby,1
 nigel balchin,1
 norbert lauppert und fritz kutschera:,1
 o' henry,1
 o. b. supe,1
 o. h. leslie,1
 o.b.,1
 o.henry,5
 olaf stapledon,1
 oprah winfrey,3
 orson scott card,1
 orthodox eastern church,1
 orwell,3
 oscar wilde,1
 others,35
 otis adelbert / clarke,2
 otis adelbert kline,2
 owen dudley edwards,2
 owen edwards,2
 p alexander,1
 p.,1
 palmer,3
 pamela / spinrad,1
 pamela adams hirst,2
 patricia,2
 patricia highsmith,3
 patrick nielsen hayden,1
 patrick poole,1
 paul,1
 paul brandts,1
 paul hoffmann,1
 penelope wallace,1
 penguin,1
 peter,1
 peter c. jurs,12
 peter phillips,4
 peter skautrup,1
 petersen,1
 philip e.,2
 philip j. bartel,1
 philip k dick,3
 philip k. / derleth,1
 philip k. dick,4
 philip wylie,4
 phillip r. burger,1
 phillis wheatley,11
 phyllis gotlieb,2
 pierre,1
 pierre boileau,1
 plymouth public library staff,1
 poe,1
 polton cross,1
 postgate wells,1
 poul,4
 poul / bradbury,1
 poul / bulmer,1
 poul anderson,10
 poul carit,1
 poul carit andersen.,8
 poul dissin,2
 poul duedahl,1
 poul martin,3
 poul nyboe,1
 poul otto nielsen.,1
 poul rasmussen.,1
 poul]  hald,1
 poulkaren anderson,1
 prideaux john,1
 professor,2
 r a lafferty,1
 r russell wakefield,1
 r. a. salvatore,2
 r. bretnor,2
 r. james wo,1
 r. l. harding,1
 r. van taylor,1
 r.a./ mcintoshk,2
 r.c.w. ettinger,1
 r.v. humphrey,1
 rachel carson,2
 rafael llopis paret,1
 rafaello,1
 ralph robin,1
 ralph waldo emerson,13
 randall garrett,1
 random house value publishing staff,7
 rasmus rask,1
 ray / brackett,1
 ray bradbury,22
 ray cummings,1
 ray errol / gardner,1
 ray russell,1
 raybea mahaffey,1
 raymond a.,1
 raymond a.mahaffey,1
 raymond e. f. ,1
 raymond f. jones,2
 raymond gallun,5
 raymond jones,4
 raymond kresensky,1
 raymond z. gallun,2
 reginald,1
 reinhold niebuhr,1
 retold by padraic colum,1
 revised by rev. edward everett hale,1
 revisededited by deems taylor,2
 revisions ,2
 revisionseditors deems taylorrussell kerr,1
 rex schneider,3
 ric hess,1
 ricardo mosquera mart�nez,2
 richard,2
 richard / de camp,1
 richard k. lyon,1
 richard l. tierney,1
 richard lancelyn green,5
 richard lupoff,3
 richard marsh,1
 richard matheson,9
 richard nebesky,1
 richard s. shaver,1
 richard s. weinstein,4
 richard shaver,3
 rick bryant [illustrator],2
 rick duffield,2
 rideout,1
 rob mancebo,2
 robert,9
 robert / brackett,1
 robert a.,1
 robert a. heinlein,7
 robert abbett [illustrator],2
 robert abernathy,2
 robert bloch,22
 robert c. moellering,5
 robert christie,1
 robert crichton,1
 robert e ,3
 robert e.,3
 robert e. / brackett,1
 robert e. / de maupasant,1
 robert e. / derleth,1
 robert e. gard,5
 robert e. howard,3
 robert e. margroff,1
 robert e./ brackett,2
 robert e./brackett,1
 robert e.carter,1
 robert f. ,1
 robert f. young,4
 robert f./ wellman,1
 robert frost,16
 robert graves,1
 robert heinlein,1
 robert heinlein.,1
 robert louis stevenson,12
 robert loving,2
 robert m williams,3
 robert mason,1
 robert moore,2
 robert moore / anderson,1
 robert moore / brackett,1
 robert moore williams,2
 robert n.,3
 robert n. linscott,3
 robert sampson,1
 robert sheckley,7
 robert silverberg,12
 robert smith,2
 robert thurston,1
 robert vance,2
 robert w. chambers,1
 robert willey,1
 robert zacks,1
 rocklynne,1
 rod lott,1
 rog phillips,4
 roger,4
 roger / leinster,1
 roger elwood,1
 roger johnson,1
 roger zelazny,10
 rollo l. lymannelle e. moore,1
 ron,2
 ron goulart,7
 ron koertge,8
 ron smith,1
 ronald blytheitor],1
 ross,1
 ross rocklynne ,4
 roy g. krenkel,1
 rud,3
 rudyard kipling,13
 rufus king,1
 rumer,1
 rumer godden,1
 running press staff,5
 rupert,1
 rupert brooke,1
 russ jones,3
 russell anderson jr,2
 russell kerr hughes,1
 russell kerrritor],1
 ruth,1
 ruth rendell,3
 s fowler wright,2
 s j byrne,3
 s. fowler wright,1
 s. p. mount,1
 s.j. ,1
 s.t. joshi,1
 saki,1
 salisbury,2
 sam moskowitz,1
 samuel,1
 samuel johnson,1
 samuel klarreich,1
 samuel loveman,1
 samuel r. delany,4
 sandra m. gilbert,2
 sarah calfee,1
 sarah gardner fox,1
 sarah josepha hale,3
 sasha miller,1
 sax / derleth,3
 sax rohmer,4
 scott fitzgerald,1
 seabury ,1
 seabury / england,2
 seabury quinn,6
 selected by winfield townley scott,3
 selectionintroduction,2
 seth grahame-smith,29
 sewell peaslee wright,1
 sharon doering,1
 sharon olds,2
 shaver,1
 shaw,1
 shawna lockhart,3
 sheckley,3
 sheila t,1
 sheila t.,2
 shelley,2
 sherlock). derleth,1
 shirley jackson,2
 sholom aleichem,2
 sidney austen,1
 sidney edward paget [illustrator],3
 sidney j. bounds,1
 silverberg robert,1
 simon,1
 sir,36
 sir arthur,13
 sir arthur conan doyle,6
 sir doyle,2
 sir john soane's museum,2
 sir william jardin,1
 sister m. therese,1
 sol galaxan,1
 sol smith,1
 sonia gr,1
 sonia gr lovecraft fowke,1
 sophia lane,1
 sparknotes,8
 sparknotes editors,11
 sprague decamp,1
 sprague:,1
 stan lee,1
 stanley g. weinbaum,2
 stanley mullen,2
 stantley / knox,1
 stanton a. coblentz,2
 stanton coblentz,2
 stark young lyman,1
 stephanie bond,2
 stephanie lynn,1
 stephen,1
 stephen c. coughlin,1
 stephen haefner,1
 stephen krensky,1
 stephen nissenbaum,3
 stephen w. whicheritor],1
 steve,1
 stories by edith wharton,1
 stuart / futrelle,2
 stuart j. byrne,1
 stuart moore,2
 stuart palmer,1
 sturgeon,2
 suzanne pickett,1
 sykes,1
 sylvia plath,11
 t s. eliot,3
 t.c. elliott,1
 talmage / trimble,2
