"AuthorName","Title"
doyle,the lurker at the threshold
 sir,the lurker at the threshold
roger zelazny,the lurker at the threshold
budge,the lurker at the threshold
e. a. wallis budge,the lurker at the threshold
andrew j. offutt,the lurker at the threshold
conan doyle,the lurker at the threshold
 charles dickens,the lurker at the threshold
 arthur conan,the lurker at the threshold
 illustrations by frank utpatel,the lurker at the threshold
 arthur,the lurker at the threshold
wallis sir budge,the lurker at the threshold
august ed. derleth,the lurker at the threshold
 e. a. wallis,the lurker at the threshold
ernest a willis budge,the lurker at the threshold
eric kincaid,the lurker at the threshold
richard voss,the lurker at the threshold
papin,the lurker at the threshold
 joseph). bulfinch,the lurker at the threshold
 thomas.,the lurker at the threshold
edgar rice burroughs,hard times
august derleth,hard times
emily dickinson,hard times
ignatius donnelly,hard times
andrew lang,hard times
hughes,hard times
ramsey campbell,hard times
 rupert,hard times
 nazaret de ter�n bleiberg,hard times
lin carter,time to come 
